mode,graph_id,instance_id,repeat,seed,runtime_s,obj,global_prob,prob_min,beta,pct_uncovered,n_scratch_builds,n_exact_hits,n_memory_hits,n_repaired,n_rejected,n_candidates_eval,memory_hit_rate
exact_cache,15,2,0,322,1.5439627170562744,8.78771227845076,9.345607015292865,2.44778463109052,159.0,9.523809523809524,432,294,0,0,0,0,0.4049586776859504
exact_cache,15,3,0,335,2.035731792449951,9.883968527912595,10.368179054228385,1.9522457115351801,138.0,14.285714285714286,826,352,0,0,0,0,0.298811544991511
exact_cache,15,4,0,348,1.8628458976745605,8.394132656118611,8.952027392960716,2.263696969747291,159.0,14.285714285714286,574,338,0,0,0,0,0.3706140350877193
exact_cache,15,5,0,361,2.2563116550445557,7.530407263097641,8.01461778941343,1.341685172914787,138.0,14.285714285714286,657,449,0,0,0,0,0.40596745027124775
exact_cache,15,6,0,374,1.2905652523040771,7.163043855185309,7.685850872729169,1.9577919505052643,149.0,14.285714285714286,344,196,0,0,0,0,0.362962962962963
exact_cache,15,0,1,10296,1.924506664276123,8.620772907562689,9.147088697036374,2.325898620462962,150.0,9.523809523809524,786,272,0,0,0,0,0.2570888468809074
exact_cache,15,1,1,10309,1.6195592880249023,9.731238912221317,10.257554701695001,2.5689228831344226,150.0,9.523809523809524,858,546,0,0,0,0,0.3888888888888889
exact_cache,15,2,1,10322,0.8548007011413574,8.784203506520935,9.345607015292865,1.6763329771049076,160.0,9.523809523809524,428,192,0,0,0,0,0.3096774193548387
exact_cache,15,3,1,10335,1.6568264961242676,9.831336948965227,10.368179054228385,2.348896192254316,153.0,14.285714285714286,272,190,0,0,0,0,0.41125541125541126
exact_cache,15,4,1,10348,1.9938738346099854,8.370299447100582,8.851001201486547,1.5858005203090149,137.0,14.285714285714286,651,439,0,0,0,0,0.40275229357798165
exact_cache,15,5,1,10361,1.8558530807495117,7.456723052571325,8.01461778941343,1.32389135711361,159.0,14.285714285714286,299,155,0,0,0,0,0.34140969162995594
exact_cache,15,6,1,10374,2.283576250076294,7.19462280255373,7.685850872729168,1.222562368784758,140.0,14.285714285714286,385,335,0,0,0,0,0.4652777777777778
exact_cache,15,0,2,20296,0.7898411750793457,8.328911347300902,8.855227136774587,1.8877825253905836,150.0,14.285714285714286,320,374,0,0,0,0,0.5389048991354467
exact_cache,15,1,2,20309,1.0668315887451172,9.520184827445727,10.046500616919412,2.8583148932116975,150.0,19.047619047619047,387,365,0,0,0,0,0.4853723404255319
exact_cache,15,2,2,20322,1.2011778354644775,8.66605268181122,9.195877243214728,1.996581182288357,151.0,14.285714285714286,428,94,0,0,0,0,0.18007662835249041
exact_cache,15,3,2,20335,0.8260617256164551,10.10812126537965,10.644963370642808,2.316235093112017,153.0,9.523809523809524,388,230,0,0,0,0,0.37216828478964403
exact_cache,15,4,2,20348,1.5115125179290771,8.479220375416856,9.002027392960716,2.6551201626204595,149.0,9.523809523809524,471,321,0,0,0,0,0.4053030303030303
exact_cache,15,5,2,20361,2.3827178478240967,7.519880947308165,8.014617789413428,1.6987017534441178,141.0,14.285714285714286,730,390,0,0,0,0,0.3482142857142857
exact_cache,15,6,2,20374,0.8084042072296143,7.180587714834433,7.685850872729169,0.9260056417815681,144.0,14.285714285714286,345,143,0,0,0,0,0.2930327868852459
exact_cache,15,0,3,30296,0.9803411960601807,8.472576442216358,9.002401003619866,2.445774071842925,151.0,19.047619047619047,477,263,0,0,0,0,0.3554054054054054
exact_cache,15,1,3,30309,1.0608093738555908,9.5447462309545,10.046500616919412,2.3175073843337834,143.0,19.047619047619047,309,123,0,0,0,0,0.2847222222222222
exact_cache,15,2,3,30322,2.194810628890991,8.791221050380585,9.345607015292865,2.243446540928262,158.0,9.523809523809524,651,211,0,0,0,0,0.24477958236658934
exact_cache,15,3,3,30335,0.7442977428436279,9.876950984052947,10.368179054228385,2.513138409700322,140.0,14.285714285714286,385,101,0,0,0,0,0.20781893004115226
exact_cache,15,4,3,30348,1.8124611377716064,8.454658971908085,9.002027392960716,1.789387642509079,156.0,9.523809523809524,542,218,0,0,0,0,0.2868421052631579
exact_cache,15,5,3,30361,1.4292378425598145,7.516372175378341,8.014617789413428,1.8858837421627823,142.0,14.285714285714286,477,287,0,0,0,0,0.3756544502617801
exact_cache,15,6,3,30374,1.5343289375305176,7.236051271616019,7.762367061089703,1.6528964614370463,150.0,9.523809523809524,532,242,0,0,0,0,0.31266149870801035
exact_cache,15,0,4,40296,2.5527329444885254,8.48695614726623,8.988710533231142,2.0748108239019905,143.0,14.285714285714286,558,352,0,0,0,0,0.3868131868131868
exact_cache,15,1,4,40309,0.7613162994384766,9.699659964852897,10.257554701695001,2.9904218225359496,159.0,9.523809523809524,445,185,0,0,0,0,0.29365079365079366
exact_cache,15,2,4,40322,2.1876628398895264,8.784203506520935,9.345607015292865,2.308484981002768,160.0,9.523809523809524,493,309,0,0,0,0,0.385286783042394
exact_cache,15,3,4,40335,1.0828943252563477,9.88471580531553,10.396996507069916,1.4392456351623402,146.0,14.285714285714286,467,499,0,0,0,0,0.5165631469979296
exact_cache,15,4,4,40348,1.1343510150909424,8.446764235065979,8.952027392960716,1.6369263179128843,144.0,14.285714285714286,636,366,0,0,0,0,0.3652694610778443
exact_cache,15,5,4,40361,1.3379101753234863,7.470758140290623,8.01461778941343,1.855418937748749,155.0,14.285714285714286,399,187,0,0,0,0,0.3191126279863481
exact_cache,15,6,4,40374,1.5144743919372559,7.214998640037072,7.762367061089703,1.6652498271252438,156.0,9.523809523809524,348,580,0,0,0,0,0.625
exact_cache,15,0,5,50296,2.351572036743164,8.589193960194269,9.147088697036374,2.046160689195816,159.0,9.523809523809524,707,333,0,0,0,0,0.32019230769230766
exact_cache,15,1,5,50309,2.263704538345337,9.520184827445727,10.046500616919412,2.248711169321611,150.0,19.047619047619047,367,433,0,0,0,0,0.54125
exact_cache,15,2,5,50322,0.7980170249938965,8.410562300337425,8.971965809109355,2.125685952861576,160.0,19.047619047619047,279,163,0,0,0,0,0.36877828054298645
exact_cache,15,3,5,50335,1.6201283931732178,10.040577405730527,10.594963370642809,2.359465091846473,158.0,14.285714285714286,484,388,0,0,0,0,0.44495412844036697
exact_cache,15,4,5,50348,1.5667505264282227,8.45115019997826,9.002027392960716,1.6369263179128843,157.0,9.523809523809524,405,333,0,0,0,0,0.45121951219512196
exact_cache,15,5,5,50361,0.8722138404846191,7.503214280641499,8.064617789413429,1.073199697592534,160.0,9.523809523809524,391,469,0,0,0,0,0.5453488372093023
exact_cache,15,6,5,50374,1.967310905456543,7.214121447054615,7.712367061089703,1.2928092277261183,142.0,14.285714285714286,632,386,0,0,0,0,0.3791748526522593
exact_cache,15,0,6,60296,1.8230416774749756,8.465903515687282,8.988710533231142,1.8877825253905836,149.0,14.285714285714286,475,559,0,0,0,0,0.5406189555125726
exact_cache,15,1,6,60309,1.8562614917755127,9.663695052572194,10.207554701695,3.00360913875859,155.0,14.285714285714286,495,137,0,0,0,0,0.21677215189873417
exact_cache,15,2,6,60322,1.2345085144042969,8.81929122581918,9.345607015292865,1.7085875220431301,150.0,9.523809523809524,575,291,0,0,0,0,0.33602771362586603
exact_cache,15,3,6,60335,1.974238395690918,10.1151388092393,10.644963370642808,2.359465091846473,151.0,9.523809523809524,501,513,0,0,0,0,0.5059171597633136
exact_cache,15,4,6,60348,1.2944846153259277,8.440623884188787,9.002027392960716,2.2068234779161857,160.0,9.523809523809524,535,183,0,0,0,0,0.25487465181058494
exact_cache,15,5,6,60361,1.3857362270355225,7.519880947308167,8.01461778941343,1.3891156483458735,141.0,14.285714285714286,491,297,0,0,0,0,0.3769035532994924
exact_cache,15,6,6,60374,1.4625544548034668,7.187605258694082,7.685850872729169,1.2928092277261183,142.0,14.285714285714286,521,333,0,0,0,0,0.38992974238875877
exact_cache,15,0,7,70296,1.0410819053649902,8.427307024459212,8.988710533231142,3.038979602796037,160.0,14.285714285714286,413,113,0,0,0,0,0.21482889733840305
exact_cache,15,1,7,70309,1.4184846878051758,9.696151192923072,10.257554701695001,2.2875337886554243,160.0,9.523809523809524,530,168,0,0,0,0,0.24068767908309455
exact_cache,15,2,7,70322,2.786881923675537,8.81929122581918,9.345607015292865,2.0947043405586925,150.0,9.523809523809524,719,251,0,0,0,0,0.25876288659793817
exact_cache,15,3,7,70335,0.8099439144134521,9.519222005844831,10.066590426897463,2.2469267361764604,156.0,19.047619047619047,282,168,0,0,0,0,0.37333333333333335
exact_cache,15,4,7,70348,2.324735403060913,8.39048932207996,8.920313883483468,2.3010736981165123,151.0,14.285714285714286,522,314,0,0,0,0,0.37559808612440193
exact_cache,15,5,7,70361,1.469726800918579,7.52338971923799,8.014617789413428,1.7843771818053455,140.0,14.285714285714286,360,348,0,0,0,0,0.4915254237288136
exact_cache,15,6,7,70374,1.214923620223999,7.236051271616019,7.762367061089703,1.8574857964020064,150.0,9.523809523809524,345,389,0,0,0,0,0.5299727520435967
exact_cache,15,0,8,80296,1.3227367401123047,8.589193960194269,9.147088697036374,2.455660465823676,159.0,9.523809523809524,435,273,0,0,0,0,0.3855932203389831
exact_cache,15,1,8,80309,1.6339657306671143,9.727730140291493,10.257554701695001,3.0702405571453495,151.0,9.523809523809524,388,152,0,0,0,0,0.2814814814814815
exact_cache,15,2,8,80322,2.326080560684204,8.812273681959532,9.345607015292865,1.4649171715808462,152.0,9.523809523809524,517,201,0,0,0,0,0.2799442896935933
exact_cache,15,3,8,80335,0.8145182132720947,10.080051089941053,10.644963370642808,2.9956618024524055,161.0,9.523809523809524,438,294,0,0,0,0,0.4016393442622951
exact_cache,15,4,8,80348,1.5071916580200195,8.454658971908085,9.002027392960716,2.254427913059284,156.0,9.523809523809524,351,219,0,0,0,0,0.38421052631578945
exact_cache,15,5,8,80361,1.0846519470214844,7.530407263097641,8.01461778941343,1.5879350374388568,138.0,14.285714285714286,630,284,0,0,0,0,0.31072210065645517
exact_cache,15,6,8,80374,1.4949796199798584,7.191114030623906,7.685850872729169,1.848349078438196,141.0,14.285714285714286,478,496,0,0,0,0,0.5092402464065708
