node_id,date,edge_list,latitude,longitude,temperature_max,temperature_min,temperature_mean,precipitation_sum,snowfall_sum,relative_humidity_max,relative_humidity_min,dewpoint_max,dewpoint_min
13,2025-01-07 05:00:00+00:00,"[2, 76, 12]",43.036057,-78.823135,-3.7935,-8.143499,-6.370583,0.2,0.14,79,60,-7.6031623,-13.157727
13,2025-01-08 05:00:00+00:00,"[2, 76, 12]",43.036057,-78.823135,-6.8935003,-10.0435,-8.26225,0,0,74,59,-11.838586,-14.423491
84,2025-01-01 05:00:00+00:00,"[32, 2, 95]",42.9909051,-78.822565,5.3694997,0.119500004,2.36325,2.5,0.21000001,97,72,4.433968,-3.0287514
84,2025-01-02 05:00:00+00:00,"[32, 2, 95]",42.9909051,-78.822565,0.46949998,-2.8305,-0.668,0.5,0.35,88,60,-1.8786936,-8.353351
84,2025-01-03 05:00:00+00:00,"[32, 2, 95]",42.9909051,-78.822565,-0.63049996,-3.7305,-2.2721665,0.1,0,82,54,-4.3005834,-9.196468
84,2025-01-04 05:00:00+00:00,"[32, 2, 95]",42.9909051,-78.822565,-2.8305,-5.5805,-4.4909167,0,0,73,56,-7.961881,-12.552888
84,2025-01-05 05:00:00+00:00,"[32, 2, 95]",42.9909051,-78.822565,-2.2805,-6.4805,-4.720083,0,0,75,56,-8.39562,-13.200472
84,2025-01-06 05:00:00+00:00,"[32, 2, 95]",42.9909051,-78.822565,-4.7305,-8.9805,-6.7763343,0.1,0.07,89,71,-6.413338,-12.818235
84,2025-01-07 05:00:00+00:00,"[32, 2, 95]",42.9909051,-78.822565,-4.4305,-8.1305,-6.570084,0.5,0.28,78,57,-8.097416,-13.301868
84,2025-01-08 05:00:00+00:00,"[32, 2, 95]",42.9909051,-78.822565,-6.9805,-10.1305,-8.172166,0,0,73,55,-12.3604145,-15.267363
3,2025-01-01 05:00:00+00:00,"[4, 8, 9, 10, 85, 123]",42.95852735,-78.7666055,5.3195,0.0695,2.2403336,3.2,0.7,100,73,4.3345594,-3.1257002
3,2025-01-02 05:00:00+00:00,"[4, 8, 9, 10, 85, 123]",42.95852735,-78.7666055,0.3195,-2.8805,-0.7450834,0.4,0.21000001,87,61,-1.9845432,-8.448687
3,2025-01-03 05:00:00+00:00,"[4, 8, 9, 10, 85, 123]",42.95852735,-78.7666055,-0.9805,-4.0305004,-2.4325836,0,0,81,54,-4.7567387,-9.433598
3,2025-01-04 05:00:00+00:00,"[4, 8, 9, 10, 85, 123]",42.95852735,-78.7666055,-3.1305,-6.0805,-4.79925,0,0,74,56,-8.124754,-12.834471
3,2025-01-05 05:00:00+00:00,"[4, 8, 9, 10, 85, 123]",42.95852735,-78.7666055,-2.5305,-6.7305,-4.922167,0,0,77,58,-8.154346,-13.178294
3,2025-01-06 05:00:00+00:00,"[4, 8, 9, 10, 85, 123]",42.95852735,-78.7666055,-4.8305,-9.2305,-7.0305004,0.1,0.07,90,71,-6.5119314,-12.845129
3,2025-01-07 05:00:00+00:00,"[4, 8, 9, 10, 85, 123]",42.95852735,-78.7666055,-4.6305003,-8.3805,-6.77425,0.5,0.28,79,57,-8.174258,-13.367135
3,2025-01-08 05:00:00+00:00,"[4, 8, 9, 10, 85, 123]",42.95852735,-78.7666055,-7.2305,-10.2805,-8.445083,0,0,74,54,-12.647146,-15.808945
4,2025-01-01 05:00:00+00:00,"[137, 10, 3]",42.95146,-78.7588881,5.489,-0.011,2.2660832,3.6000001,0.91,99,73,4.3543553,-3.0098462
4,2025-01-02 05:00:00+00:00,"[137, 10, 3]",42.95146,-78.7588881,0.439,-2.761,-0.7255833,0.5,0.28,88,60,-1.859473,-8.382427
4,2025-01-03 05:00:00+00:00,"[137, 10, 3]",42.95146,-78.7588881,-0.911,-4.061,-2.3755834,0,0,80,54,-5.0973377,-9.527421
4,2025-01-04 05:00:00+00:00,"[137, 10, 3]",42.95146,-78.7588881,-3.161,-5.911,-4.7026668,0,0,75,55,-7.981243,-12.945221
4,2025-01-05 05:00:00+00:00,"[137, 10, 3]",42.95146,-78.7588881,-2.361,-6.711,-4.694333,0,0,75,57,-8.1356945,-13.065469
4,2025-01-06 05:00:00+00:00,"[137, 10, 3]",42.95146,-78.7588881,-4.711,-8.711,-6.6568336,0,0,90,68,-6.543431,-12.558174
4,2025-01-07 05:00:00+00:00,"[137, 10, 3]",42.95146,-78.7588881,-4.061,-7.811,-6.133917,0.2,0.14,77,56,-8.619111,-13.191645
4,2025-01-08 05:00:00+00:00,"[137, 10, 3]",42.95146,-78.7588881,-6.511,-9.361,-7.796417,0,0,73,53,-12.395319,-15.688999
10,2025-01-01 05:00:00+00:00,"[34, 3, 4, 9, 42, 108, 109, 85, 53, 124]",42.93394705,-78.76326154,5.55,0.05,2.310417,4,0.84000003,99,74,4.3626914,-2.8717628
10,2025-01-02 05:00:00+00:00,"[34, 3, 4, 9, 42, 108, 109, 85, 53, 124]",42.93394705,-78.76326154,0.45,-2.75,-0.7104166,0.4,0.21000001,87,61,-2.0037389,-8.419609
10,2025-01-03 05:00:00+00:00,"[34, 3, 4, 9, 42, 108, 109, 85, 53, 124]",42.93394705,-78.76326154,-1.1,-4.3,-2.4770834,0,0,83,56,-4.501056,-9.262389
10,2025-01-04 05:00:00+00:00,"[34, 3, 4, 9, 42, 108, 109, 85, 53, 124]",42.93394705,-78.76326154,-3.2,-6.1,-4.820833,0,0,75,55,-8.019022,-12.7944
10,2025-01-05 05:00:00+00:00,"[34, 3, 4, 9, 42, 108, 109, 85, 53, 124]",42.93394705,-78.76326154,-2.65,-6.6,-4.8729167,0,0,77,59,-7.751746,-12.8473625
10,2025-01-06 05:00:00+00:00,"[34, 3, 4, 9, 42, 108, 109, 85, 53, 124]",42.93394705,-78.76326154,-4.95,-9.05,-6.979166,0,0,91,70,-6.778772,-13.004547
10,2025-01-07 05:00:00+00:00,"[34, 3, 4, 9, 42, 108, 109, 85, 53, 124]",42.93394705,-78.76326154,-4.55,-8.2,-6.395834,0.1,0.07,78,55,-8.478692,-12.868749
10,2025-01-08 05:00:00+00:00,"[34, 3, 4, 9, 42, 108, 109, 85, 53, 124]",42.93394705,-78.76326154,-6.6,-9.4,-7.7791657,0,0,72,52,-12.678336,-15.772104
85,2025-01-01 05:00:00+00:00,"[10, 3, 86, 87]",42.9610929,-78.7555071,5.528,0.028,2.3050833,3.6000001,0.91,99,73,4.3931713,-2.9720368
85,2025-01-02 05:00:00+00:00,"[10, 3, 86, 87]",42.9610929,-78.7555071,0.47800002,-2.722,-0.68658334,0.5,0.28,88,60,-1.8210326,-8.345247
