graph_id,Interval,num_nodes,mode,obj_mean,obj_std,time_s_mean,time_s_std,%_covered_mean,%_covered_std,unique_edges_covered_mean,unique_edges_covered_std
4,3,11,SA + LTMB,8.7989148,0.0496309800064435,3.1393,0.590164205021694,76.739,0.430824790373072,19.8,0.421637021355783
5,0,13,SA,10.1008027,0.154708543902577,4.3298,0.875427108457478,79.779,1.22305128447029,19.7,0.483045891539647
5,1,13,SA,10.8294997,0.133544793324229,4.5597,0.498197428513815,80.079,0.986626688379256,20.0,0.666666666666666
5,2,13,SA,11.3984059,0.199541310693884,4.3084,0.875507751092028,80.768,1.41433769344916,19.2,0.788810637746613
5,3,13,SA,10.5192917,0.163913199313979,4.82909999999999,0.85101957804872,79.876,1.24597306908652,17.9,0.875595035770913
5,0,13,SA + Exact Cache,10.2873236,0.165056636996853,4.9395,0.800202786798446,81.255,1.30394486931856,19.7,0.674948557710552
5,1,13,SA + Exact Cache,11.3445834,0.192255442166694,4.7721,0.343534067532691,83.885,1.42173016661624,20.6,0.516397779494322
5,2,13,SA + Exact Cache,11.5720836,0.126925458449875,4.5389,0.689180745523262,81.998,0.899651784488495,19.9,0.567646212197546
5,3,13,SA + Exact Cache,10.9358835,0.113186014406227,4.81499999999999,0.540945879404256,83.039,0.858868118190704,17.9,0.316227766016837
5,0,13,SA + LTMB,10.2327306,0.117775542977309,5.108,0.699545090278913,80.823,0.931987720472275,19.5,0.707106781186547
5,1,13,SA + LTMB,11.2991358,0.105547059424063,4.8429,0.289295869310296,83.5519999999999,0.779583934615837,20.7,0.483045891539647
5,2,13,SA + LTMB,11.5663446999999,0.0738659692206093,4.39009999999999,0.883601148080336,81.957,0.522303657953025,19.9,0.316227766016837
5,3,13,SA + LTMB,10.9240293999999,0.128338192616401,4.86839999999999,0.419546633615117,82.949,0.974262684175975,18.0,0.666666666666666
6,0,12,SA,8.7593169,0.277682212771462,3.0599,0.379373299007718,67.814,2.14909903603037,15.2,1.22927259430571
6,1,12,SA,8.10825569999999,0.222350166823538,2.966,0.323692240664904,73.78,2.02212209764341,16.1,0.567646212197546
6,2,12,SA,9.5088511,0.277277456380768,3.4349,0.612073606684686,71.487,2.08592665259351,16.2,1.03279555898864
6,3,12,SA,9.8998645,0.300097740459948,3.7977,0.489643645930384,71.762,2.17375149351427,15.6,0.699205898780101
6,0,12,SA + Exact Cache,9.386825,0.271750062587338,3.2427,0.264073243206837,72.673,2.10439777608701,15.2,1.03279555898864
6,1,12,SA + Exact Cache,8.3620788,0.124156396765262,3.1954,0.528083368839091,76.09,1.1307912667194,16.1,0.737864787372621
6,2,12,SA + Exact Cache,9.5961414,0.255911912628892,3.3632,0.63294879554177,72.144,1.92596411643046,16.0,1.05409255338945
6,3,12,SA + Exact Cache,10.3177366,0.107088161249609,3.8408,0.37935934298645,74.791,0.77688051419336,16.6,0.699205898780101
6,0,12,SA + LTMB,9.4572599,0.216975838532747,2.9748,0.392385807875644,73.219,1.68033363089331,15.7,1.05934990547138
6,1,12,SA + LTMB,8.4071006,0.166500845279268,3.4261,0.302356834808733,76.498,1.51496094559123,16.1,0.567646212197546
6,2,12,SA + LTMB,9.7992087,0.111696528155583,3.6039,0.602665274703407,73.671,0.839609036000292,16.7,0.483045891539647
6,3,12,SA + LTMB,10.7328107,0.343992299004578,3.93769999999999,0.395678053753581,77.798,2.49179899314174,17.0,0.471404520791031
7,0,8,SA,16.0084133,0.349820558656084,1.8846,0.261971245241406,90.721,1.98298008058578,24.4,0.516397779494322
7,1,8,SA,11.9654233,0.124792955637238,2.4036,0.291022412271708,86.378,0.900552916577116,24.0,0.666666666666666
7,2,8,SA,14.9614435,0.334457397047234,2.5115,0.360330172665755,90.041,2.0129715458606,24.4,0.516397779494322
7,3,8,SA,15.4067286,0.253267825458084,1.7098,0.183129462402967,88.434,1.45461869765088,25.3,0.483045891539647
7,0,8,SA + Exact Cache,16.6621734,0.097496818131782,1.9203,0.294817099609609,94.4269999999999,0.553735797410044,25.6,0.516397779494322
7,1,8,SA + Exact Cache,12.1210842,0.208948805424146,1.99149999999999,0.340126855419823,87.503,1.50731586308613,24.7,0.674948557710553
7,2,8,SA + Exact Cache,15.3896243,0.135846475274317,2.3537,0.256083775354863,92.6169999999999,0.819444934086481,24.6,0.843274042711568
7,3,8,SA + Exact Cache,15.7440521999999,0.122209709931375,2.4817,0.408133978546805,90.37,0.702092111715645,26.1,0.737864787372622
7,0,8,SA + LTMB,16.6547495,0.14108592628706,2.0487,0.256185718224537,94.384,0.802027985103321,25.7,0.483045891539647
7,1,8,SA + LTMB,12.0820370999999,0.188412050061353,2.4331,0.462050850977345,87.22,1.35988561610485,24.3,0.823272602348564
7,2,8,SA + LTMB,15.4514545,0.241410861236491,2.2356,0.396214924840883,92.991,1.45288563440715,25.2,0.918936583472681
7,3,8,SA + LTMB,15.8042471,0.179289961899371,2.377,0.325030596850341,90.715,1.02766455832846,26.1,0.567646212197546
8,0,12,SA,11.4539632,0.385825373697825,6.354,0.987572219581377,69.25,2.33412367567216,17.7,0.483045891539647
8,1,12,SA,8.6393071,0.306518578026936,6.111,1.03207267185988,61.245,2.17313521591885,18.5,0.707106781186547
8,2,12,SA,12.2391036,0.278971664314655,6.6543,0.54375403957631,68.7,1.56509140663129,18.8,0.421637021355783
8,3,12,SA,8.8944231,0.310178715570896,5.6102,1.17410824789615,68.419,2.38689221466836,17.5,0.707106781186547
8,0,12,SA + Exact Cache,12.5124654,0.135540695432282,6.49449999999999,0.602925875304014,75.6529999999999,0.817082207206434,18.7,0.483045891539647
8,1,12,SA + Exact Cache,9.3169951,0.335033973644946,6.2733,0.644537913719761,66.048,2.37306084578077,18.8,0.788810637746615
8,2,12,SA + Exact Cache,12.9424681999999,0.125350042618261,6.84269999999999,0.536853187048791,72.648,0.705577777427832,19.9,0.316227766016838
8,3,12,SA + Exact Cache,9.5340997,0.258596710330133,5.8289,1.21044587285475,73.343,1.98884137125111,18.0,0.666666666666666
8,0,12,SA + LTMB,12.3562590999999,0.30131898716235,6.531,1.174313037955,74.71,1.82147071224205,18.5,0.707106781186547
8,1,12,SA + LTMB,9.3480136,0.48454258169907,6.6221,0.643901899015335,66.271,3.43659537591753,18.8,0.788810637746614
8,2,12,SA + LTMB,13.0043973999999,0.0480089851618076,6.6093,0.668280056064322,72.998,0.273690823131985,20.0,0.0
8,3,12,SA + LTMB,9.5675521,0.259072031107802,6.0738,0.991602384471159,73.6,1.99162133839632,18.5,0.707106781186546
9,0,10,SA,9.8981015,0.259736641317165,1.2329,0.195267594171007,73.395,1.92677191177367,14.6,0.699205898780101
9,1,10,SA,8.6565788,0.0452839949032762,1.055,0.164581624463702,73.756,0.38767684136834,14.1,0.316227766016837
9,2,10,SA,7.9881522,0.177851178481586,1.5706,0.339214517509037,73.012,1.62429335062632,13.6,0.699205898780101
9,3,10,SA,8.5331543,0.220265752131903,1.4003,0.260656031326088,69.323,1.78818996008067,14.2,0.632455532033675
9,0,10,SA + Exact Cache,10.0315204,0.0823491795549765,1.28349999999999,0.161106762393416,74.3839999999999,0.610631731169542,15.0,0.0
9,1,10,SA + Exact Cache,8.6843566,0.00784023388539984,1.0692,0.165760067567553,73.993,0.067007462271002,14.0,0.0
9,2,10,SA + Exact Cache,8.0390708,0.0588813814994935,1.63219999999999,0.279420352396408,73.476,0.538314241147511,13.7,0.483045891539648
9,3,10,SA + Exact Cache,8.822403,0.0641619957451446,1.5987,0.278893468311229,71.672,0.519354299961871,14.7,0.823272602348564
9,0,10,SA + LTMB,10.0462274,0.0926277915173296,1.1216,0.241340331390249,74.494,0.687914723397213,15.0,0.0
9,1,10,SA + LTMB,8.6850347,0.00778331400497194,1.0067,0.244757045069413,73.999,0.0664078308635337,14.0,0.0
9,2,10,SA + LTMB,8.0873903,0.0778572753198656,1.65429999999999,0.256477874289382,73.9199999999999,0.713784903797276,13.9,0.316227766016837
9,3,10,SA + LTMB,8.8098238,0.0587547322534767,1.53149999999999,0.211288244401391,71.57,0.475861791326479,14.8,0.632455532033676
10,0,15,SA,10.5333081,0.181432354797073,3.59129999999999,0.641571516754844,87.584,1.50814234518275,20.0,0.942809041582063
10,1,15,SA,9.9574746,0.320706061571513,3.67809999999999,0.610355715955867,69.275,2.22954031136465,20.3,0.823272602348564
10,2,15,SA,13.2472143,0.178969109654928,3.6494,0.634425934736803,78.195,1.05510662968251,20.6,0.6992058987801
10,3,15,SA,11.7396307,0.285421942142213,3.21619999999999,0.829329287235574,76.573,1.85983900139531,19.8,1.22927259430571
10,0,15,SA + Exact Cache,10.9008882,0.100502876139939,3.407,0.673886901160391,90.645,0.838003579944614,21.0,0.0
